x;y;v;theta;t
9.84614;0;9.84614;0;0
19.5026;0;9.65649;0;1
29.5874;0;10.0847;0;2
38.7346;2.8735;9.58796;0.304377;3
48.2896;5.87508;10.0154;0.304377;4
57.7914;8.85996;9.95958;0.304377;5
67.3967;11.8774;10.0681;0.304377;6
77.1187;14.9314;10.1904;0.304377;7
80.1882;24.5336;10.0808;1.2614;8
83.3327;34.3704;10.3272;1.2614;9
86.4958;44.2656;10.3884;1.2614;10
82.8823;53.9163;10.305;1.92907;11
79.4169;63.1715;9.88269;1.92907;12
75.8771;72.6251;10.0945;1.92907;13
72.2965;82.1879;10.2112;1.92907;14
68.6834;91.8375;10.3039;1.92907;15
64.9205;101.887;10.731;1.92907;16
61.1088;112.067;10.8702;1.92907;17
62.1024;122.748;10.7267;1.47804;18
63.1433;133.937;11.2372;1.47804;19
64.1638;144.907;11.0176;1.47804;20
58.2939;154.281;11.0599;2.13026;21
52.4614;163.594;10.9894;2.13026;22
45.8949;171.806;10.5144;2.24533;23
39.0696;180.342;10.9287;2.24533;24
31.9444;189.252;11.4087;2.24533;25
29.8066;200.652;11.599;1.75617;26
21.7883;209.276;11.7754;2.31984;27
17.7917;219.787;11.2453;1.93414;28
23.9925;229.176;11.2523;0.987161;29
29.8972;238.118;10.7153;0.987161;30
35.7019;246.908;10.5337;0.987161;31
32.9591;257.569;11.0084;1.8226;32
30.1248;268.586;11.3761;1.8226;33
27.1897;279.995;11.7802;1.8226;34
24.3265;291.125;11.492;1.8226;35
21.5215;302.028;11.2581;1.8226;36
18.6041;313.368;11.7092;1.8226;37
23.3686;324.453;12.0661;1.16488;38
27.9897;335.206;11.7032;1.16488;39
32.6971;346.158;11.9215;1.16488;40
32.0786;358.028;11.8861;1.62285;41
31.4835;369.448;11.4356;1.62285;42
40.1926;377.404;11.7958;0.740223;43
48.5607;385.048;11.3341;0.740223;44
59.53;385.812;10.9957;0.0694892;45
70.214;386.555;10.7099;0.0694892;46
80.4476;387.268;10.2584;0.0694892;47
91.0834;388.008;10.6615;0.0694892;48
101.575;388.738;10.5169;0.0694892;49
112.279;389.483;10.7301;0.0694892;50
123.321;390.252;11.069;0.0694892;51
134.868;391.055;11.5748;0.0694892;52
146.95;391.896;12.1115;0.0694892;53
159.047;392.738;12.1261;0.0694892;54
171.205;393.585;12.1871;0.0694892;55
183.577;394.446;12.402;0.0694892;56
195.563;395.28;12.0148;0.0694892;57
201.725;405.662;12.0735;1.03512;58
207.72;415.761;11.7444;1.03512;59
213.591;425.652;11.5022;1.03512;60
219.51;435.624;11.5955;1.03512;61
225.639;445.95;12.0083;1.03512;62
231.742;456.231;11.9564;1.03512;63
237.974;466.731;12.2094;1.03512;64
244.464;477.664;12.7149;1.03512;65
250.881;488.476;12.5726;1.03512;66
261.914;493.342;12.0579;0.415358;67
273.168;498.305;12.2997;0.415358;68
284.659;503.372;12.5589;0.415358;69
286.879;515.924;12.7467;1.39569;70
289.087;528.402;12.6714;1.39569;71
291.316;541.003;12.797;1.39569;72
283.095;550.065;12.2357;2.30762;73
